"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,5,"33228,844161","145,444336","ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,5,"32134,276333","1442,719343","ops/s"
"com.mitchellbosecke.benchmark.Jte.benchmark","thrpt",1,5,"211483,138184","1665,768641","ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,5,"40649,542845","435,226972","ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,5,"50220,615650","2169,140881","ops/s"
"com.mitchellbosecke.benchmark.Qute.benchmark","thrpt",1,5,"21474,201885","671,721241","ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,5,"126786,884485","2591,704279","ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,5,"8069,573223","102,684415","ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,5,"44287,074338","764,272643","ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,5,"34472,690458","467,440199","ops/s"
